Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region
12/16/17,Off-White,Nike-Air-Max-90-Off-White,$598,$160,9/9/17,7.5,New York
12/16/17,Off-White,Nike-Air-Max-90-Off-White,$540,$160,9/9/17,10,California
12/16/17,Off-White,Nike-Air-Max-90-Off-White,$507,$160,9/9/17,8,New York
12/16/17,Off-White,Nike-Air-Max-90-Off-White,$557,$160,9/9/17,10.5,Texas
12/16/17,Off-White,Nike-Air-Max-90-Off-White,$525,$160,9/9/17,10.5,New York
12/16/17,Off-White,Nike-Air-Max-97-Off-White,$460,$190,11/1/17,11.5,Washington
12/16/17,Off-White,Nike-Air-Max-97-Off-White,$480,$190,11/1/17,8.5,California
12/16/17,Off-White,Nike-Air-Max-97-Off-White,$495,$190,11/1/17,11,Hawaii
12/16/17,Off-White,Nike-Air-Presto-Off-White,$899,$160,9/9/17,13,Virginia
"12/16/17,Off-White,Nike-Air-Presto-Off-White,""$1,158"",$160,9/9/17,9,California"
12/16/17,Off-White,Nike-Air-VaporMax-Off-White,$565,$250,9/9/17,6,New Jersey
12/16/17,Off-White,Nike-Air-VaporMax-Off-White,$690,$250,9/9/17,10,Ohio
12/16/17,Off-White,Nike-Blazer-Mid-Off-White,$540,$130,9/9/17,10,Arizona
12/16/17,Off-White,Nike-Blazer-Mid-Off-White,$595,$130,9/9/17,10.5,Maryland
12/16/17,Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,$360,$200,11/1/17,9,Florida
12/16/17,Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,$389,$200,11/1/17,10,Arizona
12/16/17,Off-White,Nike-Zoom-Fly-Off-White,$345,$170,11/1/17,6.5,California
12/16/17,Off-White,Nike-Zoom-Fly-Off-White,$420,$170,11/1/17,9,Wisconsin
"12/17/17, Yeezy,Adidas-Yeezy-Boost-350-Low-Moonrock,""$1,155"",$200,11/14/15,11.5,Illinois"
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-Low-Pirate-Black-2016,$795,$200,2/19/16,12,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$780,$220,9/24/16,4,North Carolina
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$970,$220,9/24/16,11.5,Massachusetts
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$357,$220,11/25/17,14,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$356,$220,11/25/17,7.5,Pennsylvania
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$358,$220,11/25/17,9.5,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$380,$220,11/25/17,7,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$374,$220,11/25/17,10.5,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$365,$220,11/25/17,7.5,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$410,$220,11/25/17,6.5,Michigan
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$340,$220,11/25/17,5,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$375,$220,11/25/17,11,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$363,$220,11/25/17,8,Massachusetts
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$345,$220,11/25/17,9,Nevada
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$370,$220,11/25/17,11,Minnesota
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$372,$220,11/25/17,6,Michigan
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$391,$220,11/25/17,11.5,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$380,$220,11/25/17,11,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$345,$220,11/25/17,9,Georgia
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$362,$220,11/25/17,9.5,Florida
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$381,$220,11/25/17,7,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$355,$220,11/25/17,9.5,Pennsylvania
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$361,$220,11/25/17,10,Oregon
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$370,$220,11/25/17,14,Texas
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$344,$220,11/25/17,9,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$385,$220,11/25/17,4.5,Massachusetts
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$368,$220,11/25/17,10.5,Illinois
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$375,$220,11/25/17,14,Kansas
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$348,$220,11/25/17,9,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$380,$220,11/25/17,7,Georgia
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$375,$220,11/25/17,11,Illinois
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$360,$220,11/25/17,8,Texas
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$375,$220,11/25/17,11,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$378,$220,11/25/17,14,Arizona
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$360,$220,11/25/17,9.5,California
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$360,$220,11/25/17,10,New York
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$355,$220,11/25/17,9.5,Hawaii
12/17/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,$385,$220,11/25/17,12,New York
